"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"France","2019","Total","Both Sexes","107","Data tabulated by year of occurrence","Final figure, complete","2021","150",""
"France","2019","Total","Both Sexes","108","Data tabulated by year of occurrence","Final figure, complete","2021","66",""
"France","2019","Total","Both Sexes","109","Data tabulated by year of occurrence","Final figure, complete","2021","25",""
"France","2019","Total","Both Sexes","110 +","Data tabulated by year of occurrence","Final figure, complete","2021","23",""
"France","2019","Total","Male","Total","Data tabulated by year of occurrence","Final figure, complete","2021","297395",""
"France","2019","Total","Male","0","Data tabulated by year of occurrence","Final figure, complete","2021","1442",""
"France","2019","Total","Male","1","Data tabulated by year of occurrence","Final figure, complete","2021","114",""
"France","2019","Total","Male","1 - 4","Data tabulated by year of occurrence","Final figure, complete","2021","289",""
"France","2019","Total","Male","2","Data tabulated by year of occurrence","Final figure, complete","2021","79",""
"France","2019","Total","Male","3","Data tabulated by year of occurrence","Final figure, complete","2021","43",""
"France","2019","Total","Male","4","Data tabulated by year of occurrence","Final figure, complete","2021","53",""
"France","2019","Total","Male","5","Data tabulated by year of occurrence","Final figure, complete","2021","38",""
"France","2019","Total","Male","5 - 9","Data tabulated by year of occurrence","Final figure, complete","2021","170",""
"France","2019","Total","Male","6","Data tabulated by year of occurrence","Final figure, complete","2021","31",""
"France","2019","Total","Male","7","Data tabulated by year of occurrence","Final figure, complete","2021","38",""
"France","2019","Total","Male","8","Data tabulated by year of occurrence","Final figure, complete","2021","28",""
"France","2019","Total","Male","9","Data tabulated by year of occurrence","Final figure, complete","2021","35",""
"France","2019","Total","Male","10","Data tabulated by year of occurrence","Final figure, complete","2021","31",""
"France","2019","Total","Male","10 - 14","Data tabulated by year of occurrence","Final figure, complete","2021","182",""
"France","2019","Total","Male","11","Data tabulated by year of occurrence","Final figure, complete","2021","29",""
"France","2019","Total","Male","12","Data tabulated by year of occurrence","Final figure, complete","2021","32",""
"France","2019","Total","Male","13","Data tabulated by year of occurrence","Final figure, complete","2021","37",""
"France","2019","Total","Male","14","Data tabulated by year of occurrence","Final figure, complete","2021","53",""
"France","2019","Total","Male","15","Data tabulated by year of occurrence","Final figure, complete","2021","71",""
"France","2019","Total","Male","15 - 19","Data tabulated by year of occurrence","Final figure, complete","2021","687",""
"France","2019","Total","Male","16","Data tabulated by year of occurrence","Final figure, complete","2021","99",""
"France","2019","Total","Male","17","Data tabulated by year of occurrence","Final figure, complete","2021","119",""
"France","2019","Total","Male","18","Data tabulated by year of occurrence","Final figure, complete","2021","186",""
"France","2019","Total","Male","19","Data tabulated by year of occurrence","Final figure, complete","2021","212",""
"France","2019","Total","Male","20","Data tabulated by year of occurrence","Final figure, complete","2021","197",""
"France","2019","Total","Male","20 - 24","Data tabulated by year of occurrence","Final figure, complete","2021","1011",""
"France","2019","Total","Male","21","Data tabulated by year of occurrence","Final figure, complete","2021","194",""
"France","2019","Total","Male","22","Data tabulated by year of occurrence","Final figure, complete","2021","200",""
"France","2019","Total","Male","23","Data tabulated by year of occurrence","Final figure, complete","2021","209",""
"France","2019","Total","Male","24","Data tabulated by year of occurrence","Final figure, complete","2021","211",""
"France","2019","Total","Male","25","Data tabulated by year of occurrence","Final figure, complete","2021","208",""
"France","2019","Total","Male","25 - 29","Data tabulated by year of occurrence","Final figure, complete","2021","1277",""
"France","2019","Total","Male","26","Data tabulated by year of occurrence","Final figure, complete","2021","287",""
"France","2019","Total","Male","27","Data tabulated by year of occurrence","Final figure, complete","2021","232",""
"France","2019","Total","Male","28","Data tabulated by year of occurrence","Final figure, complete","2021","277",""
"France","2019","Total","Male","29","Data tabulated by year of occurrence","Final figure, complete","2021","273",""
"France","2019","Total","Male","30","Data tabulated by year of occurrence","Final figure, complete","2021","289",""
"France","2019","Total","Male","30 - 34","Data tabulated by year of occurrence","Final figure, complete","2021","1678",""
"France","2019","Total","Male","31","Data tabulated by year of occurrence","Final figure, complete","2021","319",""
"France","2019","Total","Male","32","Data tabulated by year of occurrence","Final figure, complete","2021","350",""
"France","2019","Total","Male","33","Data tabulated by year of occurrence","Final figure, complete","2021","364",""
"France","2019","Total","Male","34","Data tabulated by year of occurrence","Final figure, complete","2021","356",""
"France","2019","Total","Male","35","Data tabulated by year of occurrence","Final figure, complete","2021","393",""
"France","2019","Total","Male","35 - 39","Data tabulated by year of occurrence","Final figure, complete","2021","2385",""
"France","2019","Total","Male","36","Data tabulated by year of occurrence","Final figure, complete","2021","432",""
"France","2019","Total","Male","37","Data tabulated by year of occurrence","Final figure, complete","2021","479",""
"France","2019","Total","Male","38","Data tabulated by year of occurrence","Final figure, complete","2021","533",""
"France","2019","Total","Male","39","Data tabulated by year of occurrence","Final figure, complete","2021","548",""
"France","2019","Total","Male","40","Data tabulated by year of occurrence","Final figure, complete","2021","543",""
"France","2019","Total","Male","40 - 44","Data tabulated by year of occurrence","Final figure, complete","2021","3269",""
"France","2019","Total","Male","41","Data tabulated by year of occurrence","Final figure, complete","2021","574",""
"France","2019","Total","Male","42","Data tabulated by year of occurrence","Final figure, complete","2021","621",""
"France","2019","Total","Male","43","Data tabulated by year of occurrence","Final figure, complete","2021","704",""
"France","2019","Total","Male","44","Data tabulated by year of occurrence","Final figure, complete","2021","827",""
"France","2019","Total","Male","45","Data tabulated by year of occurrence","Final figure, complete","2021","926",""
"France","2019","Total","Male","45 - 49","Data tabulated by year of occurrence","Final figure, complete","2021","5911",""
"France","2019","Total","Male","46","Data tabulated by year of occurrence","Final figure, complete","2021","1047",""
